# seed = 1 mean = 50 standard_deviation = 10 number_of_pages = 500
Capacity of LRU = 5
------------------------------------------------------------
Page Faults = 419
Page Hits = 81
------------------------------------------------------------
[66] <-- Page - 66 | Page Fault Here
[66, 43] <-- Page - 43 | Page Fault Here
[66, 43, 44] <-- Page - 44 | Page Fault Here
[66, 43, 44, 39] <-- Page - 39 | Page Fault Here
[41, 42, 66, 50, 43] <-- Page - 43 | Page Fault Here
[42, 66, 50, 43, 51] <-- Page - 51 | Page Fault Here
[66, 50, 43, 51, 71] <-- Page - 71 | Page Fault Here
[66, 50, 43, 71, 51] <-- Page - 51
[50, 43, 71, 51, 56] <-- Page - 56 | Page Fault Here
[43, 71, 51, 56, 53] <-- Page - 53 | Page Fault Here
[71, 51, 56, 53, 46] <-- Page - 46 | Page Fault Here
[51, 56, 53, 46, 38] <-- Page - 38 | Page Fault Here
[51, 56, 53, 38, 46] <-- Page - 46
[56, 53, 38, 46, 47] <-- Page - 47 | Page Fault Here
[53, 38, 46, 47, 55] <-- Page - 55 | Page Fault Here
[38, 46, 47, 55, 58] <-- Page - 58 | Page Fault Here
[46, 47, 55, 58, 59] <-- Page - 59 | Page Fault Here
[47, 55, 58, 59, 52] <-- Page - 52 | Page Fault Here
[47, 55, 59, 52, 58] <-- Page - 58
[55, 59, 52, 58, 42] <-- Page - 42 | Page Fault Here
[59, 52, 58, 42, 62] <-- Page - 62 | Page Fault Here
[52, 58, 42, 62, 55] <-- Page - 55 | Page Fault Here
[58, 42, 62, 55, 47] <-- Page - 47 | Page Fault Here
[42, 62, 55, 47, 54] <-- Page - 54 | Page Fault Here
[62, 55, 47, 54, 49] <-- Page - 49 | Page Fault Here
[55, 47, 54, 49, 61] <-- Page - 61 | Page Fault Here
[47, 54, 49, 61, 65] <-- Page - 65 | Page Fault Here
[54, 49, 61, 65, 71] <-- Page - 71 | Page Fault Here
[49, 61, 65, 71, 36] <-- Page - 36 | Page Fault Here
[61, 65, 71, 36, 35] <-- Page - 35 | Page Fault Here
[65, 71, 36, 35, 44] <-- Page - 44 | Page Fault Here
[71, 36, 35, 44, 51] <-- Page - 51 | Page Fault Here
[36, 35, 44, 51, 58] <-- Page - 58 | Page Fault Here
[35, 44, 51, 58, 53] <-- Page - 53 | Page Fault Here
[44, 51, 58, 53, 29] <-- Page - 29 | Page Fault Here
[51, 58, 53, 29, 46] <-- Page - 46 | Page Fault Here
[51, 53, 29, 46, 58] <-- Page - 58
[53, 29, 46, 58, 52] <-- Page - 52 | Page Fault Here
[29, 46, 58, 52, 57] <-- Page - 57 | Page Fault Here
[46, 58, 52, 57, 47] <-- Page - 47 | Page Fault Here
[46, 58, 52, 57, 47] <-- Page - 47
[58, 52, 57, 47, 51] <-- Page - 51 | Page Fault Here
[52, 57, 47, 51, 54] <-- Page - 54 | Page Fault Here
[52, 57, 47, 54, 51] <-- Page - 51
[52, 57, 47, 54, 51] <-- Page - 51
[57, 47, 54, 51, 43] <-- Page - 43 | Page Fault Here
[47, 54, 51, 43, 53] <-- Page - 53 | Page Fault Here
[47, 54, 43, 53, 51] <-- Page - 51
[54, 43, 53, 51, 61] <-- Page - 61 | Page Fault Here
[54, 43, 53, 51, 61] <-- Page - 61
[54, 43, 53, 61, 51] <-- Page - 51
[43, 53, 61, 51, 46] <-- Page - 46 | Page Fault Here
[53, 61, 51, 46, 43] <-- Page - 43
[61, 51, 46, 43, 54] <-- Page - 54 | Page Fault Here
[51, 46, 43, 54, 50] <-- Page - 50 | Page Fault Here
[51, 43, 54, 50, 46] <-- Page - 46
[51, 43, 54, 46, 50] <-- Page - 50
[51, 54, 46, 50, 43] <-- Page - 43
[54, 46, 50, 43, 56] <-- Page - 56 | Page Fault Here
[46, 50, 43, 56, 45] <-- Page - 45 | Page Fault Here
[50, 43, 56, 45, 62] <-- Page - 62 | Page Fault Here
[43, 56, 45, 62, 54] <-- Page - 54 | Page Fault Here
[56, 45, 62, 54, 55] <-- Page - 55 | Page Fault Here
[45, 62, 54, 55, 39] <-- Page - 39 | Page Fault Here
[62, 54, 55, 39, 51] <-- Page - 51 | Page Fault Here
[54, 55, 39, 51, 57] <-- Page - 57 | Page Fault Here
[55, 39, 51, 57, 40] <-- Page - 40 | Page Fault Here
[39, 51, 57, 40, 47] <-- Page - 47 | Page Fault Here
[51, 57, 40, 47, 50] <-- Page - 50 | Page Fault Here
[57, 40, 47, 50, 36] <-- Page - 36 | Page Fault Here
[40, 47, 50, 36, 53] <-- Page - 53 | Page Fault Here
[47, 50, 36, 53, 58] <-- Page - 58 | Page Fault Here
[50, 36, 53, 58, 41] <-- Page - 41 | Page Fault Here
[50, 36, 58, 41, 53] <-- Page - 53
[50, 58, 41, 53, 36] <-- Page - 36
[58, 41, 53, 36, 49] <-- Page - 49 | Page Fault Here
[41, 53, 36, 49, 33] <-- Page - 33 | Page Fault Here
[53, 36, 49, 33, 61] <-- Page - 61 | Page Fault Here
[36, 49, 33, 61, 54] <-- Page - 54 | Page Fault Here
[36, 33, 61, 54, 49] <-- Page - 49
[33, 61, 54, 49, 42] <-- Page - 42 | Page Fault Here
[61, 54, 49, 42, 62] <-- Page - 62 | Page Fault Here
[54, 49, 42, 62, 69] <-- Page - 69 | Page Fault Here
[49, 42, 62, 69, 31] <-- Page - 31 | Page Fault Here
[49, 42, 69, 31, 62] <-- Page - 62
[42, 69, 31, 62, 66] <-- Page - 66 | Page Fault Here
[69, 31, 62, 66, 53] <-- Page - 53 | Page Fault Here
[31, 62, 66, 53, 38] <-- Page - 38 | Page Fault Here
[62, 66, 53, 38, 58] <-- Page - 58 | Page Fault Here
[66, 53, 38, 58, 48] <-- Page - 48 | Page Fault Here
[53, 38, 58, 48, 43] <-- Page - 43 | Page Fault Here
[38, 58, 48, 43, 37] <-- Page - 37 | Page Fault Here
[58, 48, 43, 37, 55] <-- Page - 55 | Page Fault Here
[48, 43, 37, 55, 57] <-- Page - 57 | Page Fault Here
[48, 37, 55, 57, 43] <-- Page - 43
[48, 37, 57, 43, 55] <-- Page - 55
[37, 57, 43, 55, 38] <-- Page - 38 | Page Fault Here
[57, 43, 55, 38, 58] <-- Page - 58 | Page Fault Here
[43, 55, 38, 58, 50] <-- Page - 50 | Page Fault Here
[55, 38, 58, 50, 48] <-- Page - 48 | Page Fault Here
[55, 38, 58, 50, 48] <-- Page - 48
[55, 38, 50, 48, 58] <-- Page - 58
[38, 50, 48, 58, 57] <-- Page - 57 | Page Fault Here
[50, 48, 58, 57, 55] <-- Page - 55 | Page Fault Here
[48, 58, 57, 55, 51] <-- Page - 51 | Page Fault Here
[58, 57, 55, 51, 50] <-- Page - 50 | Page Fault Here
[57, 55, 51, 50, 56] <-- Page - 56 | Page Fault Here
[55, 51, 50, 56, 52] <-- Page - 52 | Page Fault Here
[55, 51, 50, 52, 56] <-- Page - 56
[51, 50, 52, 56, 46] <-- Page - 46 | Page Fault Here
[50, 52, 56, 46, 25] <-- Page - 25 | Page Fault Here
[52, 56, 46, 25, 60] <-- Page - 60 | Page Fault Here
[56, 46, 25, 60, 71] <-- Page - 71 | Page Fault Here
[46, 25, 60, 71, 54] <-- Page - 54 | Page Fault Here
[25, 60, 71, 54, 48] <-- Page - 48 | Page Fault Here
[25, 60, 71, 54, 48] <-- Page - 48
[25, 60, 71, 54, 48] <-- Page - 48
[60, 71, 54, 48, 50] <-- Page - 50 | Page Fault Here
[71, 54, 48, 50, 38] <-- Page - 38 | Page Fault Here
[54, 48, 50, 38, 44] <-- Page - 44 | Page Fault Here
[48, 50, 38, 44, 40] <-- Page - 40 | Page Fault Here
[50, 38, 44, 40, 52] <-- Page - 52 | Page Fault Here
[38, 44, 40, 52, 47] <-- Page - 47 | Page Fault Here
[44, 40, 52, 47, 54] <-- Page - 54 | Page Fault Here
[40, 52, 47, 54, 48] <-- Page - 48 | Page Fault Here
[52, 47, 54, 48, 59] <-- Page - 59 | Page Fault Here
[47, 54, 48, 59, 52] <-- Page - 52
[54, 48, 59, 52, 71] <-- Page - 71 | Page Fault Here
[48, 59, 52, 71, 31] <-- Page - 31 | Page Fault Here
[59, 52, 71, 31, 43] <-- Page - 43 | Page Fault Here
[52, 71, 31, 43, 59] <-- Page - 59
[71, 31, 43, 59, 75] <-- Page - 75 | Page Fault Here
[31, 43, 59, 75, 47] <-- Page - 47 | Page Fault Here
[43, 59, 75, 47, 50] <-- Page - 50 | Page Fault Here
[43, 59, 75, 50, 47] <-- Page - 47
[59, 75, 50, 47, 63] <-- Page - 63 | Page Fault Here
[59, 75, 50, 63, 47] <-- Page - 47
[75, 50, 63, 47, 56] <-- Page - 56 | Page Fault Here
[50, 63, 47, 56, 46] <-- Page - 46 | Page Fault Here
[63, 47, 56, 46, 37] <-- Page - 37 | Page Fault Here
[47, 56, 46, 37, 53] <-- Page - 53 | Page Fault Here
[56, 46, 37, 53, 55] <-- Page - 55 | Page Fault Here
[46, 37, 53, 55, 62] <-- Page - 62 | Page Fault Here
[37, 53, 55, 62, 48] <-- Page - 48 | Page Fault Here
[53, 55, 62, 48, 43] <-- Page - 43 | Page Fault Here
[53, 62, 48, 43, 55] <-- Page - 55
[62, 48, 43, 55, 52] <-- Page - 52 | Page Fault Here
[62, 48, 43, 55, 52] <-- Page - 52
[48, 43, 55, 52, 49] <-- Page - 49 | Page Fault Here
[43, 55, 52, 49, 61] <-- Page - 61 | Page Fault Here
[55, 52, 49, 61, 53] <-- Page - 53 | Page Fault Here
[52, 49, 61, 53, 69] <-- Page - 69 | Page Fault Here
[52, 49, 53, 69, 61] <-- Page - 61
[49, 53, 69, 61, 56] <-- Page - 56 | Page Fault Here
[53, 69, 61, 56, 33] <-- Page - 33 | Page Fault Here
[53, 69, 61, 33, 56] <-- Page - 56
[69, 61, 33, 56, 54] <-- Page - 54 | Page Fault Here
[61, 33, 56, 54, 58] <-- Page - 58 | Page Fault Here
[33, 56, 54, 58, 60] <-- Page - 60 | Page Fault Here
[56, 54, 58, 60, 45] <-- Page - 45 | Page Fault Here
[56, 54, 60, 45, 58] <-- Page - 58
[54, 60, 45, 58, 44] <-- Page - 44 | Page Fault Here
[60, 45, 58, 44, 69] <-- Page - 69 | Page Fault Here
[45, 58, 44, 69, 36] <-- Page - 36 | Page Fault Here
[58, 44, 69, 36, 32] <-- Page - 32 | Page Fault Here
[44, 69, 36, 32, 33] <-- Page - 33 | Page Fault Here
[69, 36, 32, 33, 41] <-- Page - 41 | Page Fault Here
[36, 32, 33, 41, 38] <-- Page - 38 | Page Fault Here
[32, 33, 41, 38, 69] <-- Page - 69 | Page Fault Here
[33, 41, 38, 69, 46] <-- Page - 46 | Page Fault Here
[41, 38, 69, 46, 36] <-- Page - 36 | Page Fault Here
[38, 69, 46, 36, 61] <-- Page - 61 | Page Fault Here
[69, 46, 36, 61, 44] <-- Page - 44 | Page Fault Here
[46, 36, 61, 44, 37] <-- Page - 37 | Page Fault Here
[36, 61, 44, 37, 58] <-- Page - 58 | Page Fault Here
[61, 44, 37, 58, 56] <-- Page - 56 | Page Fault Here
[44, 37, 58, 56, 45] <-- Page - 45 | Page Fault Here
[37, 58, 56, 45, 64] <-- Page - 64 | Page Fault Here
[58, 56, 45, 64, 51] <-- Page - 51 | Page Fault Here
[56, 45, 64, 51, 66] <-- Page - 66 | Page Fault Here
[45, 64, 51, 66, 55] <-- Page - 55 | Page Fault Here
[64, 51, 66, 55, 65] <-- Page - 65 | Page Fault Here
[64, 66, 55, 65, 51] <-- Page - 51
[66, 55, 65, 51, 37] <-- Page - 37 | Page Fault Here
[55, 65, 51, 37, 74] <-- Page - 74 | Page Fault Here
[65, 51, 37, 74, 44] <-- Page - 44 | Page Fault Here
[51, 37, 74, 44, 48] <-- Page - 48 | Page Fault Here
[37, 74, 44, 48, 42] <-- Page - 42 | Page Fault Here
[74, 44, 48, 42, 47] <-- Page - 47 | Page Fault Here
[44, 48, 42, 47, 52] <-- Page - 52 | Page Fault Here
[44, 48, 42, 47, 52] <-- Page - 52
[48, 42, 47, 52, 56] <-- Page - 56 | Page Fault Here
[42, 47, 52, 56, 67] <-- Page - 67 | Page Fault Here
[47, 52, 56, 67, 48] <-- Page - 48 | Page Fault Here
[52, 56, 67, 48, 37] <-- Page - 37 | Page Fault Here
[56, 67, 48, 37, 38] <-- Page - 38 | Page Fault Here
[67, 48, 37, 38, 43] <-- Page - 43 | Page Fault Here
[48, 37, 38, 43, 33] <-- Page - 33 | Page Fault Here
[37, 38, 43, 33, 58] <-- Page - 58 | Page Fault Here
[38, 43, 33, 58, 45] <-- Page - 45 | Page Fault Here
[43, 33, 58, 45, 46] <-- Page - 46 | Page Fault Here
[33, 58, 45, 46, 49] <-- Page - 49 | Page Fault Here
[58, 45, 46, 49, 36] <-- Page - 36 | Page Fault Here
[45, 46, 49, 36, 41] <-- Page - 41 | Page Fault Here
[46, 49, 36, 41, 56] <-- Page - 56 | Page Fault Here
[46, 49, 36, 41, 56] <-- Page - 56
[49, 36, 41, 56, 45] <-- Page - 45 | Page Fault Here
[36, 41, 56, 45, 68] <-- Page - 68 | Page Fault Here
[41, 56, 45, 68, 36] <-- Page - 36
[56, 45, 68, 36, 46] <-- Page - 46 | Page Fault Here
[45, 68, 36, 46, 47] <-- Page - 47 | Page Fault Here
[68, 36, 46, 47, 22] <-- Page - 22 | Page Fault Here
[36, 46, 47, 22, 69] <-- Page - 69 | Page Fault Here
[46, 47, 22, 69, 53] <-- Page - 53 | Page Fault Here
[47, 22, 69, 53, 39] <-- Page - 39 | Page Fault Here
[22, 69, 53, 39, 70] <-- Page - 70 | Page Fault Here
[69, 53, 39, 70, 55] <-- Page - 55 | Page Fault Here
[53, 39, 70, 55, 54] <-- Page - 54 | Page Fault Here
[39, 70, 55, 54, 43] <-- Page - 43 | Page Fault Here
[70, 55, 54, 43, 51] <-- Page - 51 | Page Fault Here
[55, 54, 43, 51, 34] <-- Page - 34 | Page Fault Here
[54, 43, 51, 34, 57] <-- Page - 57 | Page Fault Here
[43, 51, 34, 57, 46] <-- Page - 46 | Page Fault Here
[43, 34, 57, 46, 51] <-- Page - 51
[34, 57, 46, 51, 62] <-- Page - 62 | Page Fault Here
[57, 46, 51, 62, 52] <-- Page - 52 | Page Fault Here
[57, 46, 51, 62, 52] <-- Page - 52
[57, 46, 51, 62, 52] <-- Page - 52
[46, 51, 62, 52, 42] <-- Page - 42 | Page Fault Here
[51, 62, 52, 42, 58] <-- Page - 58 | Page Fault Here
[62, 52, 42, 58, 65] <-- Page - 65 | Page Fault Here
[52, 42, 58, 65, 57] <-- Page - 57 | Page Fault Here
[52, 42, 65, 57, 58] <-- Page - 58
[42, 65, 57, 58, 41] <-- Page - 41 | Page Fault Here
[42, 65, 57, 58, 41] <-- Page - 41
[65, 57, 58, 41, 35] <-- Page - 35 | Page Fault Here
[57, 58, 41, 35, 62] <-- Page - 62 | Page Fault Here
[58, 41, 35, 62, 47] <-- Page - 47 | Page Fault Here
[41, 35, 62, 47, 63] <-- Page - 63 | Page Fault Here
[35, 62, 47, 63, 42] <-- Page - 42 | Page Fault Here
[62, 47, 63, 42, 45] <-- Page - 45 | Page Fault Here
[47, 63, 42, 45, 50] <-- Page - 50 | Page Fault Here
[63, 42, 45, 50, 59] <-- Page - 59 | Page Fault Here
[63, 42, 45, 59, 50] <-- Page - 50
[42, 45, 59, 50, 52] <-- Page - 52 | Page Fault Here
[42, 45, 59, 52, 50] <-- Page - 50
[45, 59, 52, 50, 51] <-- Page - 51 | Page Fault Here
[59, 52, 50, 51, 38] <-- Page - 38 | Page Fault Here
[59, 52, 51, 38, 50] <-- Page - 50
[52, 51, 38, 50, 48] <-- Page - 48 | Page Fault Here
[51, 38, 50, 48, 49] <-- Page - 49 | Page Fault Here
[38, 50, 48, 49, 54] <-- Page - 54 | Page Fault Here
[50, 48, 49, 54, 43] <-- Page - 43 | Page Fault Here
[50, 48, 54, 43, 49] <-- Page - 49
[48, 54, 43, 49, 47] <-- Page - 47 | Page Fault Here
[48, 43, 49, 47, 54] <-- Page - 54
[43, 49, 47, 54, 57] <-- Page - 57 | Page Fault Here
[49, 47, 54, 57, 40] <-- Page - 40 | Page Fault Here
[47, 54, 57, 40, 55] <-- Page - 55 | Page Fault Here
[54, 57, 40, 55, 70] <-- Page - 70 | Page Fault Here
[57, 40, 55, 70, 35] <-- Page - 35 | Page Fault Here
[40, 55, 70, 35, 41] <-- Page - 41 | Page Fault Here
[40, 55, 70, 35, 41] <-- Page - 41
[55, 70, 35, 41, 47] <-- Page - 47 | Page Fault Here
[70, 35, 41, 47, 66] <-- Page - 66 | Page Fault Here
[35, 41, 47, 66, 50] <-- Page - 50 | Page Fault Here
[41, 47, 66, 50, 43] <-- Page - 43 | Page Fault Here
[47, 66, 50, 43, 56] <-- Page - 56 | Page Fault Here
[66, 50, 43, 56, 44] <-- Page - 44 | Page Fault Here
[50, 43, 56, 44, 61] <-- Page - 61 | Page Fault Here
[43, 56, 44, 61, 53] <-- Page - 53 | Page Fault Here
[56, 44, 61, 53, 63] <-- Page - 63 | Page Fault Here
[44, 61, 53, 63, 43] <-- Page - 43 | Page Fault Here
[61, 53, 63, 43, 80] <-- Page - 80 | Page Fault Here
[53, 63, 43, 80, 58] <-- Page - 58 | Page Fault Here
[63, 43, 80, 58, 56] <-- Page - 56 | Page Fault Here
[43, 80, 58, 56, 49] <-- Page - 49 | Page Fault Here
[80, 58, 56, 49, 42] <-- Page - 42 | Page Fault Here
[58, 56, 49, 42, 41] <-- Page - 41 | Page Fault Here
[56, 49, 42, 41, 48] <-- Page - 48 | Page Fault Here
[56, 49, 41, 48, 42] <-- Page - 42
[49, 41, 48, 42, 52] <-- Page - 52 | Page Fault Here
[49, 48, 42, 52, 41] <-- Page - 41
[48, 42, 52, 41, 56] <-- Page - 56 | Page Fault Here
[42, 52, 41, 56, 59] <-- Page - 59 | Page Fault Here
[52, 41, 56, 59, 42] <-- Page - 42
[41, 56, 59, 42, 61] <-- Page - 61 | Page Fault Here
[56, 59, 42, 61, 47] <-- Page - 47 | Page Fault Here
[56, 59, 42, 47, 61] <-- Page - 61
[59, 42, 47, 61, 54] <-- Page - 54 | Page Fault Here
[59, 42, 47, 54, 61] <-- Page - 61
[42, 47, 54, 61, 40] <-- Page - 40 | Page Fault Here
[47, 54, 61, 40, 48] <-- Page - 48 | Page Fault Here
[54, 61, 40, 48, 64] <-- Page - 64 | Page Fault Here
[61, 40, 48, 64, 43] <-- Page - 43 | Page Fault Here
[40, 48, 64, 43, 29] <-- Page - 29 | Page Fault Here
[48, 64, 43, 29, 30] <-- Page - 30 | Page Fault Here
[64, 43, 29, 30, 24] <-- Page - 24 | Page Fault Here
[43, 29, 30, 24, 28] <-- Page - 28 | Page Fault Here
[29, 30, 24, 28, 45] <-- Page - 45 | Page Fault Here
[30, 24, 28, 45, 62] <-- Page - 62 | Page Fault Here
[30, 24, 28, 62, 45] <-- Page - 45
[24, 28, 62, 45, 53] <-- Page - 53 | Page Fault Here
[28, 62, 45, 53, 48] <-- Page - 48 | Page Fault Here
[62, 45, 53, 48, 50] <-- Page - 50 | Page Fault Here
[62, 45, 53, 50, 48] <-- Page - 48
[62, 45, 53, 50, 48] <-- Page - 48
[45, 53, 50, 48, 54] <-- Page - 54 | Page Fault Here
[53, 50, 48, 54, 38] <-- Page - 38 | Page Fault Here
[50, 48, 54, 38, 60] <-- Page - 60 | Page Fault Here
[48, 54, 38, 60, 59] <-- Page - 59 | Page Fault Here
[54, 38, 60, 59, 48] <-- Page - 48
[38, 60, 59, 48, 58] <-- Page - 58 | Page Fault Here
[60, 59, 48, 58, 42] <-- Page - 42 | Page Fault Here
[59, 48, 58, 42, 44] <-- Page - 44 | Page Fault Here
[48, 58, 42, 44, 51] <-- Page - 51 | Page Fault Here
[58, 42, 44, 51, 48] <-- Page - 48
[42, 44, 51, 48, 45] <-- Page - 45 | Page Fault Here
[44, 51, 48, 45, 43] <-- Page - 43 | Page Fault Here
[51, 48, 45, 43, 44] <-- Page - 44
[48, 45, 43, 44, 59] <-- Page - 59 | Page Fault Here
[45, 43, 44, 59, 30] <-- Page - 30 | Page Fault Here
[43, 44, 59, 30, 53] <-- Page - 53 | Page Fault Here
[44, 59, 30, 53, 47] <-- Page - 47 | Page Fault Here
[59, 30, 53, 47, 57] <-- Page - 57 | Page Fault Here
[30, 53, 47, 57, 55] <-- Page - 55 | Page Fault Here
[53, 47, 57, 55, 22] <-- Page - 22 | Page Fault Here
[53, 47, 57, 22, 55] <-- Page - 55
[47, 57, 22, 55, 53] <-- Page - 53
[57, 22, 55, 53, 50] <-- Page - 50 | Page Fault Here
[22, 55, 53, 50, 45] <-- Page - 45 | Page Fault Here
[55, 53, 50, 45, 58] <-- Page - 58 | Page Fault Here
[55, 53, 50, 58, 45] <-- Page - 45
[53, 50, 58, 45, 68] <-- Page - 68 | Page Fault Here
[50, 58, 45, 68, 55] <-- Page - 55 | Page Fault Here
[58, 45, 68, 55, 71] <-- Page - 71 | Page Fault Here
[45, 68, 55, 71, 42] <-- Page - 42 | Page Fault Here
[68, 55, 71, 42, 32] <-- Page - 32 | Page Fault Here
[55, 71, 42, 32, 57] <-- Page - 57 | Page Fault Here
[71, 42, 32, 57, 58] <-- Page - 58 | Page Fault Here
[42, 32, 57, 58, 50] <-- Page - 50 | Page Fault Here
[32, 57, 58, 50, 34] <-- Page - 34 | Page Fault Here
[57, 58, 50, 34, 45] <-- Page - 45 | Page Fault Here
[58, 50, 34, 45, 56] <-- Page - 56 | Page Fault Here
[50, 34, 45, 56, 48] <-- Page - 48 | Page Fault Here
[50, 34, 45, 56, 48] <-- Page - 48
[50, 34, 45, 56, 48] <-- Page - 48
[34, 45, 56, 48, 40] <-- Page - 40 | Page Fault Here
[45, 56, 48, 40, 44] <-- Page - 44 | Page Fault Here
[56, 48, 40, 44, 35] <-- Page - 35 | Page Fault Here
[48, 40, 44, 35, 67] <-- Page - 67 | Page Fault Here
[40, 44, 35, 67, 45] <-- Page - 45 | Page Fault Here
[44, 35, 67, 45, 54] <-- Page - 54 | Page Fault Here
[35, 67, 45, 54, 39] <-- Page - 39 | Page Fault Here
[67, 45, 54, 39, 57] <-- Page - 57 | Page Fault Here
[45, 54, 39, 57, 31] <-- Page - 31 | Page Fault Here
[54, 39, 57, 31, 59] <-- Page - 59 | Page Fault Here
[39, 57, 31, 59, 49] <-- Page - 49 | Page Fault Here
[57, 31, 59, 49, 71] <-- Page - 71 | Page Fault Here
[31, 59, 49, 71, 36] <-- Page - 36 | Page Fault Here
[59, 49, 71, 36, 50] <-- Page - 50 | Page Fault Here
[49, 71, 36, 50, 53] <-- Page - 53 | Page Fault Here
[71, 36, 50, 53, 62] <-- Page - 62 | Page Fault Here
[36, 50, 53, 62, 45] <-- Page - 45 | Page Fault Here
[36, 53, 62, 45, 50] <-- Page - 50
[53, 62, 45, 50, 28] <-- Page - 28 | Page Fault Here
[62, 45, 50, 28, 41] <-- Page - 41 | Page Fault Here
[45, 50, 28, 41, 54] <-- Page - 54 | Page Fault Here
[50, 28, 41, 54, 61] <-- Page - 61 | Page Fault Here
[28, 41, 54, 61, 47] <-- Page - 47 | Page Fault Here
[41, 54, 61, 47, 70] <-- Page - 70 | Page Fault Here
[54, 61, 47, 70, 67] <-- Page - 67 | Page Fault Here
[61, 47, 70, 67, 49] <-- Page - 49 | Page Fault Here
[47, 70, 67, 49, 25] <-- Page - 25 | Page Fault Here
[70, 67, 49, 25, 32] <-- Page - 32 | Page Fault Here
[67, 49, 25, 32, 42] <-- Page - 42 | Page Fault Here
[49, 25, 32, 42, 61] <-- Page - 61 | Page Fault Here
[25, 32, 42, 61, 53] <-- Page - 53 | Page Fault Here
[32, 42, 61, 53, 29] <-- Page - 29 | Page Fault Here
[42, 61, 53, 29, 47] <-- Page - 47 | Page Fault Here
[61, 53, 29, 47, 66] <-- Page - 66 | Page Fault Here
[53, 29, 47, 66, 46] <-- Page - 46 | Page Fault Here
[29, 47, 66, 46, 42] <-- Page - 42 | Page Fault Here
[47, 66, 46, 42, 70] <-- Page - 70 | Page Fault Here
[66, 46, 42, 70, 50] <-- Page - 50 | Page Fault Here
[46, 42, 70, 50, 45] <-- Page - 45 | Page Fault Here
[42, 70, 50, 45, 53] <-- Page - 53 | Page Fault Here
[42, 70, 45, 53, 50] <-- Page - 50
[42, 70, 53, 50, 45] <-- Page - 45
[70, 53, 50, 45, 62] <-- Page - 62 | Page Fault Here
[53, 50, 45, 62, 61] <-- Page - 61 | Page Fault Here
[50, 45, 62, 61, 58] <-- Page - 58 | Page Fault Here
[45, 62, 61, 58, 48] <-- Page - 48 | Page Fault Here
[45, 62, 58, 48, 61] <-- Page - 61
[62, 58, 48, 61, 49] <-- Page - 49 | Page Fault Here
[58, 48, 61, 49, 54] <-- Page - 54 | Page Fault Here
